Ticker,Close,San,Date Time
A32,29.2,UPCOM,20231110
AAA,9.1,HOSE,20231110
AAM,9.45,HOSE,20231110
AAS,9.4,UPCOM,20231110
AAT,4.85,HOSE,20231110
AAV,4.4,HNX,20231110
ABB,7.9,UPCOM,20231110
ABC,13.9,UPCOM,20231110
ABI,26.0,UPCOM,20231110
ABR,14.9,HOSE,20231110
ABS,5.6,HOSE,20231110
ABW,9.6,UPCOM,20231110
ACB,22.4,HOSE,20231110
ACC,11.3,HOSE,20231110
ACE,35.9,UPCOM,20231110
ACG,38.0,HOSE,20231110
ACL,12.5,HOSE,20231110
ACM,0.6,UPCOM,20231110
ACS,8.4,UPCOM,20231110
ACV,70.0,UPCOM,20231110
ADG,24.8,HOSE,20231110
ADS,13.7,HOSE,20231110
AFX,9.6,UPCOM,20231110
AG1,7.3,UPCOM,20231110
AGF,2.6,UPCOM,20231110
AGG,26.6,HOSE,20231110
AGP,24.5,UPCOM,20231110
AGR,14.9,HOSE,20231110
AIC,12.6,UPCOM,20231110
ALT,13.1,HNX,20231110
ALV,4.0,UPCOM,20231110
AME,8.6,HNX,20231110
AMS,10.2,UPCOM,20231110
AMV,3.8,HNX,20231110
ANT,11.0,UPCOM,20231110
ANV,29.0,HOSE,20231110
APC,10.3,HOSE,20231110
APF,58.2,UPCOM,20231110
APG,9.8,HOSE,20231110
APH,7.42,HOSE,20231110
API,6.2,HNX,20231110
APP,4.6,UPCOM,20231110
APS,7.2,HNX,20231110
ASG,22.5,HOSE,20231110
ASM,9.2,HOSE,20231110
ASP,5.19,HOSE,20231110
AST,53.8,HOSE,20231110
ATA,0.9,UPCOM,20231110
ATB,0.6,UPCOM,20231110
ATG,2.6,UPCOM,20231110
AVC,49.6,UPCOM,20231110
AVF,0.5,UPCOM,20231110
B82,0.5,UPCOM,20231110
BAB,12.9,HNX,20231110
BAF,25.8,HOSE,20231110
BAL,7.1,UPCOM,20231110
BBC,53.3,HOSE,20231110
BBH,14.9,UPCOM,20231110
BBS,11.0,HNX,20231110
BBT,9.1,UPCOM,20231110
BCA,5.1,UPCOM,20231110
BCC,9.5,HNX,20231110
BCE,5.75,HOSE,20231110
BCG,8.55,HOSE,20231110
BCM,60.4,HOSE,20231110
BDG,27.0,UPCOM,20231110
BDT,14.8,UPCOM,20231110
BDW,17.2,UPCOM,20231110
BFC,20.25,HOSE,20231110
BHC,1.7,UPCOM,20231110
BHN,42.2,HOSE,20231110
BIC,25.75,HOSE,20231110
BID,42.2,HOSE,20231110
BIG,9.8,UPCOM,20231110
BII,0.9,UPCOM,20231110
BKG,4.5,HOSE,20231110
BLI,11.4,UPCOM,20231110
BLT,34.7,UPCOM,20231110
BLW,11.0,UPCOM,20231110
BMC,13.9,HOSE,20231110
BMF,9.8,UPCOM,20231110
BMI,21.85,HOSE,20231110
BMP,95.3,HOSE,20231110
BMS,10.4,UPCOM,20231110
BNA,10.3,HNX,20231110
BOT,3.5,UPCOM,20231110
BRC,11.45,HOSE,20231110
BRR,17.5,UPCOM,20231110
BSA,17.8,UPCOM,20231110
BSG,11.0,UPCOM,20231110
BSI,41.85,HOSE,20231110
BSQ,20.8,UPCOM,20231110
BSR,18.7,UPCOM,20231110
BST,14.2,HNX,20231110
BT6,3.7,UPCOM,20231110
BTN,3.7,UPCOM,20231110
BTP,13.1,HOSE,20231110
BTS,5.7,HNX,20231110
BTW,33.6,HNX,20231110
BVB,10.3,UPCOM,20231110
BVG,2.5,UPCOM,20231110
BVH,40.6,HOSE,20231110
BVL,12.9,UPCOM,20231110
BVS,25.0,HNX,20231110
BWE,43.45,HOSE,20231110
C32,16.8,HOSE,20231110
C47,6.63,HOSE,20231110
C4G,11.8,UPCOM,20231110
C69,6.8,HNX,20231110
C92,3.4,UPCOM,20231110
CACB2302,0.3,HOSE,20231110
CACB2303,0.46,HOSE,20231110
CACB2304,1.42,HOSE,20231110
CACB2305,0.72,HOSE,20231110
CAD,0.6,UPCOM,20231110
CAG,7.0,HNX,20231110
CAP,75.0,HNX,20231110
CAR,32.8,UPCOM,20231110
CAT,15.9,UPCOM,20231110
CAV,68.9,HOSE,20231110
CBI,6.5,UPCOM,20231110
CBS,33.8,UPCOM,20231110
