Ticker,Close,San,Date Time
A32,29.1,UPCOM,20231101
AAA,8.1,HOSE,20231101
AAM,9.4,HOSE,20231101
AAS,8.0,UPCOM,20231101
AAT,4.58,HOSE,20231101
AAV,4.0,HNX,20231101
ABB,7.6,UPCOM,20231101
ABC,13.6,UPCOM,20231101
ABI,38.9,UPCOM,20231101
ABR,17.4,HOSE,20231101
ABS,4.97,HOSE,20231101
ABT,34.0,HOSE,20231101
ABW,8.3,UPCOM,20231101
ACB,21.6,HOSE,20231101
ACC,11.3,HOSE,20231101
ACG,37.4,HOSE,20231101
ACL,12.25,HOSE,20231101
ACV,69.9,UPCOM,20231101
ADC,18.0,HNX,20231101
ADG,24.6,HOSE,20231101
ADP,18.5,HOSE,20231101
ADS,12.8,HOSE,20231101
AFX,9.2,UPCOM,20231101
AG1,7.6,UPCOM,20231101
AGG,24.9,HOSE,20231101
AGP,24.5,UPCOM,20231101
AGR,12.55,HOSE,20231101
AGX,36.3,UPCOM,20231101
AIC,10.6,UPCOM,20231101
ALV,4.0,UPCOM,20231101
AMS,10.0,UPCOM,20231101
AMV,3.4,HNX,20231101
ANT,10.3,UPCOM,20231101
ANV,26.0,HOSE,20231101
APC,10.1,HOSE,20231101
APF,54.9,UPCOM,20231101
APG,9.2,HOSE,20231101
APH,6.94,HOSE,20231101
API,5.6,HNX,20231101
APP,4.7,UPCOM,20231101
APS,6.3,HNX,20231101
ASG,22.95,HOSE,20231101
ASM,8.18,HOSE,20231101
ASP,5.3,HOSE,20231101
AST,56.7,HOSE,20231101
BAB,12.5,HNX,20231101
BAF,23.1,HOSE,20231101
BAX,48.0,HNX,20231101
BBC,51.9,HOSE,20231101
BBH,9.3,UPCOM,20231101
BBM,9.1,UPCOM,20231101
BCA,5.0,UPCOM,20231101
BCC,8.5,HNX,20231101
BCE,5.78,HOSE,20231101
BCF,29.0,HNX,20231101
BCG,7.44,HOSE,20231101
BCM,58.0,HOSE,20231101
BCP,9.2,UPCOM,20231101
BDB,10.3,HNX,20231101
BDG,26.5,UPCOM,20231101
BDT,13.9,UPCOM,20231101
BFC,18.95,HOSE,20231101
BHA,14.0,UPCOM,20231101
BHN,38.0,HOSE,20231101
BIC,24.6,HOSE,20231101
BID,40.0,HOSE,20231101
BIG,8.5,UPCOM,20231101
BKG,4.18,HOSE,20231101
BLI,12.0,UPCOM,20231101
BLT,34.5,UPCOM,20231101
BLW,12.8,UPCOM,20231101
BMC,13.55,HOSE,20231101
BMF,10.0,UPCOM,20231101
BMI,20.6,HOSE,20231101
BMJ,9.5,UPCOM,20231101
BMP,80.5,HOSE,20231101
BMS,8.9,UPCOM,20231101
BNA,9.3,HNX,20231101
BOT,3.7,UPCOM,20231101
BPC,8.6,HNX,20231101
BRC,11.6,HOSE,20231101
BRR,18.0,UPCOM,20231101
BSA,17.7,UPCOM,20231101
BSG,12.1,UPCOM,20231101
BSI,34.75,HOSE,20231101
BSQ,21.0,UPCOM,20231101
BSR,18.0,UPCOM,20231101
BST,13.5,HNX,20231101
BTN,3.3,UPCOM,20231101
BTP,13.4,HOSE,20231101
BTS,5.6,HNX,20231101
BTV,9.1,UPCOM,20231101
BVB,10.1,UPCOM,20231101
BVG,2.4,UPCOM,20231101
BVH,39.0,HOSE,20231101
BVL,12.8,UPCOM,20231101
BVS,22.9,HNX,20231101
BWE,43.55,HOSE,20231101
BWS,28.0,UPCOM,20231101
C32,16.95,HOSE,20231101
C47,6.15,HOSE,20231101
C4G,10.0,UPCOM,20231101
C69,6.0,HNX,20231101
C92,3.5,UPCOM,20231101
CAB,12.8,UPCOM,20231101
CACB2302,0.24,HOSE,20231101
CACB2303,0.38,HOSE,20231101
CACB2304,1.25,HOSE,20231101
CACB2305,0.65,HOSE,20231101
CAG,6.9,HNX,20231101
CAP,70.0,HNX,20231101
CAR,32.4,UPCOM,20231101
CAT,15.1,UPCOM,20231101
CAV,66.8,HOSE,20231101
CBS,29.4,UPCOM,20231101
CC1,12.0,UPCOM,20231101
CCA,15.2,UPCOM,20231101
CCI,21.85,HOSE,20231101
CCL,6.09,HOSE,20231101
CCM,37.4,UPCOM,20231101
CCR,11.0,HNX,20231101
CDC,19.9,HOSE,20231101
CDN,25.6,HNX,20231101
CDP,10.5,UPCOM,20231101
CEN,4.5,UPCOM,20231101
CEO,20.2,HNX,20231101
CFPT2303,1.44,HOSE,20231101
CFPT2304,1.55,HOSE,20231101
CFPT2305,2.7,HOSE,20231101
CFPT2306,1.14,HOSE,20231101
CFPT2307,1.38,HOSE,20231101
CFPT2308,1.22,HOSE,20231101
CFPT2309,1.64,HOSE,20231101
CFPT2310,1.65,HOSE,20231101
CFPT2311,0.65,HOSE,20231101
CFPT2312,1.7,HOSE,20231101
CFPT2313,1.16,HOSE,20231101
CFPT2314,1.67,HOSE,20231101
CHDB2302,0.35,HOSE,20231101
CHDB2303,0.42,HOSE,20231101
CHDB2304,0.69,HOSE,20231101
CHDB2305,0.56,HOSE,20231101
CHDB2306,0.78,HOSE,20231101
CHP,23.6,HOSE,20231101
CHPG2306,1.26,HOSE,20231101
CHPG2307,0.65,HOSE,20231101
CHPG2309,1.12,HOSE,20231101
CHPG2311,0.75,HOSE,20231101
CHPG2312,0.5,HOSE,20231101
CHPG2313,0.78,HOSE,20231101
CHPG2314,2.04,HOSE,20231101
CHPG2315,1.31,HOSE,20231101
CHPG2316,0.81,HOSE,20231101
CHPG2317,0.48,HOSE,20231101
CHPG2318,0.45,HOSE,20231101
CHPG2319,0.54,HOSE,20231101
CHPG2320,0.29,HOSE,20231101
CHPG2321,1.22,HOSE,20231101
CHPG2322,1.76,HOSE,20231101
