Ticker,Close,San,Date Time
CHPG2332,0.83,HOSE,20231103
CHPG2333,0.85,HOSE,20231103
CHPG2334,0.64,HOSE,20231103
CHS,9.7,UPCOM,20231103
CIA,10.0,HNX,20231103
CIG,5.65,HOSE,20231103
CII,16.2,HOSE,20231103
CIP,2.7,UPCOM,20231103
CKA,37.9,UPCOM,20231103
CKG,21.4,HOSE,20231103
CLC,34.9,HOSE,20231103
CLG,0.7,UPCOM,20231103
CLH,24.3,HNX,20231103
CLL,35.0,HOSE,20231103
CLM,55.1,HNX,20231103
CLW,25.35,HOSE,20231103
CLX,13.9,UPCOM,20231103
CMBB2305,0.52,HOSE,20231103
CMBB2306,1.57,HOSE,20231103
CMBB2307,0.17,HOSE,20231103
CMBB2308,0.31,HOSE,20231103
CMBB2309,0.47,HOSE,20231103
CMBB2311,1.0,HOSE,20231103
CMBB2312,1.25,HOSE,20231103
CMBB2313,0.42,HOSE,20231103
CMBB2314,0.7,HOSE,20231103
CMBB2315,0.96,HOSE,20231103
CMC,5.3,HNX,20231103
CMD,17.5,UPCOM,20231103
CMF,190.0,UPCOM,20231103
CMG,44.75,HOSE,20231103
CMI,2.0,UPCOM,20231103
CMM,6.4,UPCOM,20231103
CMS,22.2,HNX,20231103
CMSN2302,1.55,HOSE,20231103
CMSN2304,0.1,HOSE,20231103
CMSN2305,0.42,HOSE,20231103
CMSN2306,0.34,HOSE,20231103
CMSN2307,0.65,HOSE,20231103
CMSN2308,0.02,HOSE,20231103
CMSN2309,0.14,HOSE,20231103
CMSN2310,0.18,HOSE,20231103
CMSN2311,0.64,HOSE,20231103
CMSN2312,0.15,HOSE,20231103
CMSN2313,0.88,HOSE,20231103
CMT,11.4,UPCOM,20231103
CMV,9.39,HOSE,20231103
CMWG2302,0.02,HOSE,20231103
CMWG2304,0.5,HOSE,20231103
CMWG2305,1.78,HOSE,20231103
CMWG2306,0.07,HOSE,20231103
CMWG2307,0.25,HOSE,20231103
CMWG2308,0.15,HOSE,20231103
CMWG2309,0.4,HOSE,20231103
CMWG2310,0.61,HOSE,20231103
CMWG2311,0.27,HOSE,20231103
CMWG2312,0.69,HOSE,20231103
CMWG2313,0.69,HOSE,20231103
CMWG2314,0.58,HOSE,20231103
CMX,8.26,HOSE,20231103
CNC,29.5,UPCOM,20231103
CNG,26.9,HOSE,20231103
CNN,40.5,UPCOM,20231103
CNT,19.5,UPCOM,20231103
CNVL2302,0.22,HOSE,20231103
CNVL2303,0.9,HOSE,20231103
CNVL2304,0.49,HOSE,20231103
CNVL2305,1.2,HOSE,20231103
COM,30.0,HOSE,20231103
CPA,5.4,UPCOM,20231103
CPC,15.3,HNX,20231103
CPDR2302,1.01,HOSE,20231103
CPDR2303,1.35,HOSE,20231103
CPDR2304,1.3,HOSE,20231103
CPDR2305,1.6,HOSE,20231103
CPI,2.4,UPCOM,20231103
CPOW2302,0.05,HOSE,20231103
CPOW2303,0.1,HOSE,20231103
CPOW2304,0.16,HOSE,20231103
CPOW2305,0.18,HOSE,20231103
CPOW2306,0.35,HOSE,20231103
CPOW2307,0.07,HOSE,20231103
CPOW2308,0.3,HOSE,20231103
CPOW2309,0.38,HOSE,20231103
CPOW2311,0.12,HOSE,20231103
CQN,30.0,UPCOM,20231103
CRC,5.34,HOSE,20231103
CRE,7.38,HOSE,20231103
CSC,28.5,HNX,20231103
CSI,30.6,UPCOM,20231103
CSM,12.05,HOSE,20231103
CST,15.0,UPCOM,20231103
CSTB2303,3.42,HOSE,20231103
CSTB2305,0.49,HOSE,20231103
CSTB2306,2.17,HOSE,20231103
CSTB2308,0.41,HOSE,20231103
CSTB2309,0.34,HOSE,20231103
CSTB2310,0.58,HOSE,20231103
CSTB2311,0.9,HOSE,20231103
CSTB2312,0.76,HOSE,20231103
CSTB2313,0.87,HOSE,20231103
CSTB2314,0.47,HOSE,20231103
CSTB2315,0.45,HOSE,20231103
CSTB2316,0.62,HOSE,20231103
CSTB2317,0.46,HOSE,20231103
CSTB2318,0.78,HOSE,20231103
CSTB2319,0.7,HOSE,20231103
CSTB2320,0.39,HOSE,20231103
CSTB2321,0.68,HOSE,20231103
CSTB2322,1.17,HOSE,20231103
CSTB2323,0.89,HOSE,20231103
CSTB2324,1.1,HOSE,20231103
CSTB2325,1.55,HOSE,20231103
CSTB2327,0.76,HOSE,20231103
CSTB2328,0.74,HOSE,20231103
CSV,36.45,HOSE,20231103
CTC,1.4,HNX,20231103
CTCB2302,1.96,HOSE,20231103
CTCB2303,0.13,HOSE,20231103
CTCB2304,0.35,HOSE,20231103
CTCB2305,0.6,HOSE,20231103
CTCB2306,1.11,HOSE,20231103
CTCB2307,1.08,HOSE,20231103
CTCB2310,0.65,HOSE,20231103
CTD,57.5,HOSE,20231103
CTF,29.8,HOSE,20231103
CTG,28.0,HOSE,20231103
CTI,14.3,HOSE,20231103
CTN,0.6,UPCOM,20231103
CTP,4.6,HNX,20231103
CTPB2303,0.27,HOSE,20231103
CTR,77.5,HOSE,20231103
CTS,22.25,HOSE,20231103
CVHM2302,1.12,HOSE,20231103
CVHM2304,0.08,HOSE,20231103
CVHM2305,0.25,HOSE,20231103
CVHM2306,0.25,HOSE,20231103
CVHM2307,0.51,HOSE,20231103
CVHM2308,0.05,HOSE,20231103
CVHM2309,0.11,HOSE,20231103
CVHM2310,0.12,HOSE,20231103
CVHM2311,0.5,HOSE,20231103
CVHM2312,0.38,HOSE,20231103
CVHM2313,0.61,HOSE,20231103
CVIB2302,1.08,HOSE,20231103
CVIB2303,0.08,HOSE,20231103
CVIB2304,0.83,HOSE,20231103
CVIB2305,0.62,HOSE,20231103
CVIC2302,0.13,HOSE,20231103
CVIC2303,0.3,HOSE,20231103
CVIC2304,0.48,HOSE,20231103
CVIC2305,0.39,HOSE,20231103
CVIC2306,0.67,HOSE,20231103
CVIC2307,0.07,HOSE,20231103
CVIC2308,0.56,HOSE,20231103
CVIC2309,0.6,HOSE,20231103
CVN,3.2,HNX,20231103
CVNM2303,0.51,HOSE,20231103
CVNM2304,0.92,HOSE,20231103
CVNM2305,0.78,HOSE,20231103
CVNM2306,1.12,HOSE,20231103
CVNM2307,0.18,HOSE,20231103
CVNM2308,1.25,HOSE,20231103
CVNM2309,0.23,HOSE,20231103
CVNM2310,1.07,HOSE,20231103
CVNM2311,1.48,HOSE,20231103
CVPB2304,0.29,HOSE,20231103
CVPB2305,1.5,HOSE,20231103
CVPB2306,0.69,HOSE,20231103
CVPB2307,0.16,HOSE,20231103
CVPB2308,0.3,HOSE,20231103
CVPB2309,0.48,HOSE,20231103
CVPB2310,0.83,HOSE,20231103
CVPB2311,1.56,HOSE,20231103
CVPB2312,1.9,HOSE,20231103
CVPB2313,0.31,HOSE,20231103
CVPB2314,0.71,HOSE,20231103
CVPB2315,0.64,HOSE,20231103
CVRE2303,1.35,HOSE,20231103
CVRE2305,0.15,HOSE,20231103
CVRE2306,0.25,HOSE,20231103
CVRE2307,0.21,HOSE,20231103
CVRE2308,0.45,HOSE,20231103
CVRE2309,0.05,HOSE,20231103
CVRE2310,0.1,HOSE,20231103
CVRE2311,0.24,HOSE,20231103
CVRE2312,0.61,HOSE,20231103
CVRE2313,0.7,HOSE,20231103
CVRE2314,0.15,HOSE,20231103
CVRE2315,0.42,HOSE,20231103
CX8,7.0,HNX,20231103
CYC,2.4,UPCOM,20231103
D11,13.0,HNX,20231103
D2D,24.8,HOSE,20231103
DAD,19.7,HNX,20231103
DAE,17.3,HNX,20231103
DAG,3.18,HOSE,20231103
DAH,3.97,HOSE,20231103
DAS,9.5,UPCOM,20231103
DAT,9.79,HOSE,20231103
DBC,19.5,HOSE,20231103
DBD,58.9,HOSE,20231103
DBT,12.0,HOSE,20231103
DC1,6.8,UPCOM,20231103
DC2,4.6,HNX,20231103
DC4,9.9,HOSE,20231103
DCL,22.8,HOSE,20231103
DCM,29.3,HOSE,20231103
DCS,0.6,UPCOM,20231103
DCT,0.7,UPCOM,20231103
DDG,6.1,HNX,20231103
DDM,1.2,UPCOM,20231103
DDN,8.9,UPCOM,20231103
DDV,9.2,UPCOM,20231103
DFF,9.9,UPCOM,20231103
DGC,85.8,HOSE,20231103
DGT,5.2,UPCOM,20231103
DGW,46.8,HOSE,20231103
DHA,44.1,HOSE,20231103
DHB,7.0,UPCOM,20231103
DHC,41.55,HOSE,20231103
DHG,103.6,HOSE,20231103
DHM,7.37,HOSE,20231103
DHT,21.8,HNX,20231103
DIC,1.6,UPCOM,20231103
DID,4.4,UPCOM,20231103
DIG,22.3,HOSE,20231103
DIH,25.8,HNX,20231103
DL1,3.8,HNX,20231103
DLG,2.09,HOSE,20231103
DMC,62.6,HOSE,20231103
DNC,42.1,HNX,20231103
DNP,22.5,HNX,20231103
DNW,27.4,UPCOM,20231103
DOP,10.5,UPCOM,20231103
DP1,29.9,UPCOM,20231103
DP3,61.6,HNX,20231103
DPG,36.0,HOSE,20231103
DPM,31.6,HOSE,20231103
DPR,31.0,HOSE,20231103
DPS,0.5,UPCOM,20231103
DQC,14.5,HOSE,20231103
DRC,22.4,HOSE,20231103
DRH,4.45,HOSE,20231103
DRI,7.0,UPCOM,20231103
DRL,64.4,HOSE,20231103
DS3,5.2,HNX,20231103
DSC,16.1,UPCOM,20231103
DSN,52.8,HOSE,20231103
DST,3.8,HNX,20231103
DTA,6.44,HOSE,20231103
DTC,4.3,HNX,20231103
DTD,20.9,HNX,20231103
DTG,18.3,HNX,20231103
DTI,3.3,UPCOM,20231103
DTK,10.8,HNX,20231103
DTL,15.5,HOSE,20231103
DTP,118.0,UPCOM,20231103
DVG,3.1,HNX,20231103
DVM,13.5,HNX,20231103
DVN,18.1,UPCOM,20231103
DVP,60.0,HOSE,20231103
DXG,18.05,HOSE,20231103
DXP,12.3,HNX,20231103
DXS,6.19,HOSE,20231103
DXV,3.79,HOSE,20231103
E12,5.2,UPCOM,20231103
E1VFVN30,18.83,HOSE,20231103
E29,5.1,UPCOM,20231103
EFI,1.4,UPCOM,20231103
EIB,17.8,HOSE,20231103
EID,19.4,HNX,20231103
EIN,3.5,UPCOM,20231103
ELC,23.0,HOSE,20231103
EMS,18.5,UPCOM,20231103
EVE,13.65,HOSE,20231103
EVF,12.0,HOSE,20231103
EVG,4.7,HOSE,20231103
EVS,7.7,HNX,20231103
FCM,4.9,HOSE,20231103
FCN,12.9,HOSE,20231103
FCS,8.2,UPCOM,20231103
FDC,10.65,HOSE,20231103
